Loan_ID,Customer_ID,Branch,City,State,Gender,Age,Occupation,Annual_Income,Credit_Score,Existing_Loans,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,EMI,Application_Date,Approval_Date,Loan_Status,Disbursed_Amount,Default_Flag,Days_Past_Due,Recovery_Amount,Relationship_Years,Account_Type,Digital_Banking
L00014,C10014,Delhi Central,Delhi,Delhi,Male,26,Self-employed,86965,731,1,Personal,83092,9.42,84,1354.65,2024-03-01,02-03-2024,Approved,83092,No,0,0,8,Current,No
L00015,C10015,Ahmedabad,Ahmedabad,Gujarat,Female,30,Salaried,82068,780,4,Home,314419,8.01,120,3816.43,2025-05-03,12-05-2025,Approved,314419,No,0,0,2,Savings,Yes
L00016,C10016,Kolkata West,Kolkata,West Bengal,Male,36,Salaried,174336,672,1,Auto,60418,13.07,84,1101.42,2025-11-04,13-11-2025,Approved,60418,No,0,0,8,Savings,No
L00017,C10017,Chennai North,Chennai,Tamil Nadu,Female,46,Salaried,103642,534,0,Home,475666,16.49,36,16838.3,2024-03-16,,Rejected,0,No,0,0,8,Savings,No
L00018,C10018,Bhubaneswar,Bhubaneswar,Odisha,Male,36,Salaried,66352,732,3,Education,122214,10.22,180,1329.82,2025-06-25,04-07-2025,Approved,122214,No,0,0,3,Savings,No
L00019,C10019,Mumbai South,Mumbai,Maharashtra,Male,56,Salaried,98860,601,1,Auto,119201,12.05,60,2654.57,2024-02-22,29-02-2024,Approved,119201,No,0,0,1,Savings,No
L00020,C10020,Bhopal,Bhopal,Madhya Pradesh,Male,37,Salaried,140824,621,4,Education,103519,7.59,36,3224.37,2025-12-08,,Pending,0,No,0,0,1,Current,Yes
L00021,C10021,Ahmedabad,Ahmedabad,Gujarat,Male,23,Salaried,35458,728,1,Auto,142714,14.52,84,2715.62,2025-09-27,,Rejected,0,No,0,0,7,Savings,Yes
L00022,C10022,Bhubaneswar,Bhubaneswar,Odisha,Female,22,Salaried,112080,661,3,Education,143254,14.12,48,3923.26,2024-09-30,02-10-2024,Approved,143254,No,0,0,1,Current,Yes
L00023,C10023,Chennai North,Chennai,Tamil Nadu,Female,43,Salaried,84662,707,3,Personal,29099,16.2,60,710.73,2024-12-25,01-01-2025,Approved,29099,No,0,0,10,Savings,Yes
L00024,C10024,Bhubaneswar,Bhubaneswar,Odisha,Female,32,Business,94590,791,0,Home,377836,10.61,60,8141.77,2025-03-22,31-03-2025,Approved,377836,No,0,0,6,Current,Yes
L00025,C10025,Kochi,Kochi,Kerala,Female,21,Salaried,166151,625,1,Personal,29171,16.04,60,710,2025-09-30,02-10-2025,Approved,29171,No,0,0,9,Current,No
L00026,C10026,Pune East,Pune,Maharashtra,Female,39,Business,75289,536,3,Auto,149390,13.6,48,4052.39,2025-09-22,,Rejected,0,No,0,0,12,Savings,No
L00027,C10027,Hyderabad Central,Hyderabad,Telangana,Male,48,Self-employed,109475,616,1,Personal,116463,9.03,36,3705.12,2024-10-17,,Rejected,0,No,0,0,10,Savings,Yes
L00028,C10028,Chandigarh,Chandigarh,Chandigarh,Female,35,Self-employed,63627,706,0,Home,399108,13,36,13447.53,2025-04-11,21-04-2025,Approved,399108,No,0,0,12,Current,No
L00029,C10029,Chennai North,Chennai,Tamil Nadu,Male,21,Self-employed,52941,698,4,Personal,93060,9.74,36,2991.44,2025-04-12,20-04-2025,Approved,93060,No,0,0,10,Current,No
L00030,C10030,Patna,Patna,Bihar,Female,31,Business,149433,641,3,Home,279624,15.06,60,6661.05,2025-06-17,,Rejected,0,No,0,0,7,Current,No
L00031,C10031,Mumbai South,Mumbai,Maharashtra,Female,36,Salaried,108809,712,1,Home,513829,8.88,48,12757.4,2024-03-06,12-03-2024,Approved,513829,No,0,0,13,Savings,Yes
L00032,C10032,Patna,Patna,Bihar,Female,45,Self-employed,178112,672,0,Business,381827,10.92,36,12486.07,2024-12-26,02-01-2025,Approved,381827,No,0,0,13,Savings,No
L00033,C10033,Chennai North,Chennai,Tamil Nadu,Female,48,Salaried,126936,635,3,Education,140166,11.71,48,3671.18,2025-09-29,,Rejected,0,No,0,0,12,Savings,Yes
L00034,C10034,Chandigarh,Chandigarh,Chandigarh,Female,29,Self-employed,72639,780,0,Home,321627,9.4,60,6739.06,2024-12-11,18-12-2024,Approved,321627,No,0,0,13,Current,Yes
L00035,C10035,Jaipur,Jaipur,Rajasthan,Male,55,Salaried,116740,694,0,Education,62411,9.29,36,1993.09,2025-09-28,01-10-2025,Approved,62411,No,0,0,3,Savings,No
L00036,C10036,Kochi,Kochi,Kerala,Female,44,Salaried,55024,716,1,Business,136674,12.71,60,3089.5,2025-08-12,19-08-2025,Approved,136674,No,0,0,6,Savings,Yes
L00037,C10037,Mumbai South,Mumbai,Maharashtra,Female,59,Self-employed,173355,703,3,Auto,68076,12.05,60,1516.03,2024-01-13,,Rejected,0,No,0,0,15,Savings,No
L00038,C10038,Pune East,Pune,Maharashtra,Female,30,Salaried,161772,626,2,Auto,191078,14.47,84,3630.6,2025-03-22,,Rejected,0,No,0,0,8,Current,Yes
L00039,C10039,Patna,Patna,Bihar,Male,38,Self-employed,88927,690,3,Personal,84789,15.16,48,2366.62,2025-05-14,19-05-2025,Approved,84789,No,0,0,8,Savings,Yes
L00040,C10040,Mumbai South,Mumbai,Maharashtra,Male,47,Salaried,87999,599,3,Auto,178665,11.53,36,5894.21,2024-04-05,12-04-2024,Approved,178665,No,0,0,9,Current,No
L00041,C10041,Lucknow,Lucknow,Uttar Pradesh,Female,48,Student,169281,636,2,Personal,50217,8.59,48,1239.9,2024-11-19,28-11-2024,Approved,50217,No,0,0,5,Savings,Yes
L00042,C10042,Kochi,Kochi,Kerala,Female,38,Business,162530,785,4,Home,202704,14.99,60,4821.25,2024-08-20,25-08-2024,Approved,202704,Yes,166,16591,8,Savings,Yes
L00043,C10043,Lucknow,Lucknow,Uttar Pradesh,Female,29,Business,153680,698,2,Personal,77733,10.57,36,2529.08,2024-09-15,,Pending,0,No,0,0,15,Savings,Yes
L00044,C10044,Ahmedabad,Ahmedabad,Gujarat,Female,25,Business,39053,696,1,Home,445090,16.04,36,15656.83,2024-09-11,18-09-2024,Approved,445090,No,0,0,7,Current,No
L00045,C10045,Bhubaneswar,Bhubaneswar,Odisha,Female,40,Self-employed,137415,656,4,Business,132026,16.03,48,3743.68,2025-10-02,04-10-2025,Approved,132026,No,0,0,5,Savings,Yes
L00046,C10046,Delhi Central,Delhi,Delhi,Female,49,Business,148184,781,2,Home,301049,13.86,180,3980.92,2025-04-09,13-04-2025,Approved,301049,No,0,0,6,Current,Yes
L00047,C10047,Lucknow,Lucknow,Uttar Pradesh,Male,30,Self-employed,62286,727,2,Auto,199214,15.79,84,3933.01,2024-05-07,12-05-2024,Approved,199214,No,0,0,8,Current,No
L00048,C10048,Mumbai South,Mumbai,Maharashtra,Male,48,Business,90632,708,0,Home,503526,15.02,120,8129.8,2025-08-24,,Pending,0,No,0,0,8,Savings,Yes
L00049,C10049,Jaipur,Jaipur,Rajasthan,Female,38,Salaried,178440,571,0,Personal,73523,10.5,180,812.72,2024-04-17,,Pending,0,No,0,0,10,Current,No
L00050,C10050,Hyderabad Central,Hyderabad,Telangana,Female,56,Salaried,48084,740,2,Home,210776,16.23,84,4214.1,2025-06-10,,Rejected,0,No,0,0,0,Current,No
L00051,C10051,Delhi Central,Delhi,Delhi,Male,54,Salaried,155676,606,1,Home,218688,15.85,84,4324.93,2025-12-16,,Rejected,0,No,0,0,0,Savings,Yes
L00052,C10052,Hyderabad Central,Hyderabad,Telangana,Male,56,Salaried,83903,606,0,Personal,35396,13.33,48,955.39,2025-05-25,,Pending,0,No,0,0,9,Current,No
L00053,C10053,Patna,Patna,Bihar,Female,51,Salaried,169510,717,4,Personal,37892,15.28,60,907.03,2025-02-28,09-03-2025,Approved,37892,No,0,0,0,Current,No
L00054,C10054,Patna,Patna,Bihar,Female,30,Salaried,151967,725,2,Personal,119991,12.39,84,2143.28,2024-11-25,,Rejected,0,No,0,0,7,Current,Yes
L00055,C10055,Patna,Patna,Bihar,Female,23,Salaried,148987,654,3,Business,159746,11.96,36,5302.8,2024-05-09,19-05-2024,Approved,159746,No,0,0,3,Current,Yes
L00056,C10056,Lucknow,Lucknow,Uttar Pradesh,Female,21,Business,132473,567,1,Home,559744,16.22,60,13677.4,2025-09-30,,Rejected,0,No,0,0,2,Current,No
L00057,C10057,Pune East,Pune,Maharashtra,Female,55,Salaried,42936,700,2,Business,127384,11.41,36,4195.17,2025-10-10,,Rejected,0,No,0,0,3,Current,Yes
L00058,C10058,Kochi,Kochi,Kerala,Female,22,Salaried,39711,795,2,Personal,76450,8.81,120,960.59,2025-02-25,28-02-2025,Approved,76450,No,0,0,2,Current,Yes
L00059,C10059,Jaipur,Jaipur,Rajasthan,Male,35,Salaried,91578,589,3,Business,366574,8.92,84,5882.97,2024-12-19,,Pending,0,No,0,0,9,Current,No
L00060,C10060,Jaipur,Jaipur,Rajasthan,Female,33,Student,151670,716,0,Home,449852,10.73,60,9720.41,2025-12-17,24-12-2025,Approved,449852,No,0,0,1,Current,No
L00061,C10061,Bhopal,Bhopal,Madhya Pradesh,Male,59,Self-employed,82410,626,1,Auto,60334,10.28,84,1010.37,2024-02-04,,Rejected,0,No,0,0,4,Savings,No
L00062,C10062,Pune East,Pune,Maharashtra,Female,32,Salaried,166402,616,2,Personal,55720,14.97,60,1324.7,2025-05-08,,Pending,0,No,0,0,9,Current,Yes
L00063,C10063,Jaipur,Jaipur,Rajasthan,Male,30,Self-employed,84143,761,3,Business,372192,10.79,84,6331.81,2024-01-15,17-01-2024,Approved,372192,No,0,0,8,Current,No
L00064,C10064,Mumbai South,Mumbai,Maharashtra,Male,51,Salaried,172169,603,2,Business,196060,13.33,180,2523.36,2025-04-20,,Pending,0,No,0,0,9,Current,Yes
L00065,C10065,Bengaluru East,Bengaluru,Karnataka,Male,23,Salaried,154138,728,4,Home,387839,10.84,180,4369.28,2025-12-14,,Pending,0,No,0,0,13,Savings,No
L00066,C10066,Chandigarh,Chandigarh,Chandigarh,Male,52,Business,98332,724,0,Auto,106955,11.49,48,2789.83,2025-01-06,12-01-2025,Approved,106955,No,0,0,11,Savings,No
L00067,C10067,Hyderabad Central,Hyderabad,Telangana,Male,28,Self-employed,144201,730,4,Business,106517,14.58,48,2941.82,2024-05-08,12-05-2024,Approved,106517,No,0,0,6,Savings,Yes
L00068,C10068,Pune East,Pune,Maharashtra,Male,59,Salaried,62929,716,1,Personal,42871,8.49,36,1353.13,2024-05-14,18-05-2024,Approved,42871,No,0,0,0,Savings,No
L00069,C10069,Delhi Central,Delhi,Delhi,Male,47,Salaried,41661,569,4,Auto,168490,12.03,120,2420.26,2024-02-14,,Rejected,0,No,0,0,9,Current,Yes
L00070,C10070,Delhi Central,Delhi,Delhi,Female,46,Salaried,53301,708,3,Education,88138,8.16,36,2768.43,2024-11-25,27-11-2024,Approved,88138,No,0,0,10,Current,No
L00071,C10071,Jaipur,Jaipur,Rajasthan,Female,27,Self-employed,54992,751,4,Education,58183,11.37,48,1514.25,2025-02-27,07-03-2025,Approved,58183,No,0,0,3,Current,No
L00072,C10072,Pune East,Pune,Maharashtra,Female,44,Student,149326,608,0,Home,194755,8.34,36,6133.51,2025-01-16,,Rejected,0,No,0,0,1,Current,Yes
L00073,C10073,Ahmedabad,Ahmedabad,Gujarat,Female,48,Self-employed,38486,782,2,Home,416030,9.41,180,4321.72,2025-05-08,10-05-2025,Approved,416030,No,0,0,11,Savings,No
L00074,C10074,Kolkata West,Kolkata,West Bengal,Male,48,Self-employed,170945,671,0,Auto,120109,7.76,60,2421.61,2025-12-20,,Rejected,0,No,0,0,10,Current,Yes
L00075,C10075,Bengaluru East,Bengaluru,Karnataka,Male,57,Business,43241,752,0,Home,428125,9.44,84,6984.12,2025-04-09,15-04-2025,Approved,428125,No,0,0,10,Savings,Yes
L00076,C10076,Bengaluru East,Bengaluru,Karnataka,Male,60,Salaried,46386,767,2,Personal,75576,11.87,84,1328.87,2025-02-28,09-03-2025,Approved,75576,No,0,0,13,Savings,No
L00077,C10077,Chandigarh,Chandigarh,Chandigarh,Female,54,Business,36905,727,0,Home,308030,16.01,48,8731.23,2024-09-18,20-09-2024,Approved,308030,Yes,140,46057,4,Current,Yes
L00078,C10078,Lucknow,Lucknow,Uttar Pradesh,Female,25,Salaried,36089,850,3,Home,190822,15.26,120,3109.08,2025-03-15,22-03-2025,Approved,190822,No,0,0,12,Savings,No
L00079,C10079,Bengaluru East,Bengaluru,Karnataka,Female,44,Salaried,52751,693,4,Home,312673,14.21,48,8577.23,2024-12-07,,Rejected,0,No,0,0,2,Savings,Yes
L00080,C10080,Bhubaneswar,Bhubaneswar,Odisha,Female,43,Business,63716,783,1,Home,284201,9.28,120,3643.35,2024-06-05,07-06-2024,Approved,284201,No,0,0,15,Current,No
L00081,C10081,Chandigarh,Chandigarh,Chandigarh,Female,41,Salaried,42900,592,2,Auto,142259,12.07,60,3169.51,2025-04-17,,Rejected,0,No,0,0,1,Current,No
L00082,C10082,Mumbai South,Mumbai,Maharashtra,Male,60,Business,125789,709,3,Auto,60753,11.55,120,855.9,2025-10-29,08-11-2025,Approved,60753,No,0,0,4,Savings,No
L00083,C10083,Mumbai South,Mumbai,Maharashtra,Female,26,Salaried,70235,796,3,Personal,99928,8.93,60,2070.95,2024-10-16,22-10-2024,Approved,99928,No,0,0,1,Current,Yes
L00084,C10084,Pune East,Pune,Maharashtra,Male,56,Business,99487,716,2,Education,116057,16.18,120,1957.15,2024-06-02,12-06-2024,Approved,116057,No,0,0,11,Current,No
L00085,C10085,Bengaluru East,Bengaluru,Karnataka,Male,40,Business,111108,730,4,Home,501512,11.31,60,10981.78,2024-01-19,22-01-2024,Approved,501512,No,0,0,10,Current,Yes
L00086,C10086,Chennai North,Chennai,Tamil Nadu,Male,30,Salaried,51513,593,4,Education,139460,14.15,120,2177.94,2024-02-08,,Rejected,0,No,0,0,4,Current,Yes
L00087,C10087,Bengaluru East,Bengaluru,Karnataka,Male,60,Self-employed,68395,686,2,Auto,112267,16.23,120,1896.74,2024-10-18,,Rejected,0,No,0,0,14,Savings,Yes
L00088,C10088,Hyderabad Central,Hyderabad,Telangana,Female,33,Salaried,174532,669,3,Personal,56932,14.5,120,901.16,2025-06-24,27-06-2025,Approved,56932,No,0,0,4,Current,Yes
L00089,C10089,Chandigarh,Chandigarh,Chandigarh,Female,44,Business,51893,669,0,Home,550092,8.94,84,8833.73,2025-06-09,16-06-2025,Approved,550092,Yes,86,236520,11,Savings,No
L00090,C10090,Delhi Central,Delhi,Delhi,Female,53,Salaried,126231,608,0,Personal,23694,10.37,36,768.66,2025-10-27,30-10-2025,Approved,23694,Yes,103,13594,15,Savings,No
L00091,C10091,Jaipur,Jaipur,Rajasthan,Male,26,Salaried,81532,734,4,Personal,34573,14.49,48,953.28,2024-11-04,08-11-2024,Approved,34573,No,0,0,14,Savings,Yes
L00092,C10092,Patna,Patna,Bihar,Female,59,Salaried,160102,613,4,Home,225275,10.12,36,7281.69,2025-09-21,,Rejected,0,No,0,0,13,Savings,Yes
L00093,C10093,Lucknow,Lucknow,Uttar Pradesh,Female,25,Student,167627,481,4,Home,396486,7.89,84,6158.01,2025-01-17,18-01-2025,Approved,396486,No,0,0,2,Current,Yes
L00094,C10094,Kochi,Kochi,Kerala,Male,58,Business,112167,680,1,Home,436268,10.55,180,4836.03,2024-06-28,,Rejected,0,No,0,0,14,Current,Yes
L00095,C10095,Bhopal,Bhopal,Madhya Pradesh,Male,25,Business,144977,735,1,Business,245463,15.9,120,4096.54,2025-02-11,,Pending,0,No,0,0,15,Current,Yes
L00096,C10096,Bhopal,Bhopal,Madhya Pradesh,Male,39,Salaried,37531,700,2,Home,569085,10.81,84,9687.36,2025-03-26,,Rejected,0,No,0,0,12,Current,Yes
L00097,C10097,Jaipur,Jaipur,Rajasthan,Female,44,Self-employed,161125,686,3,Home,465859,16.46,48,13312.58,2025-07-12,14-07-2025,Approved,465859,Yes,105,160692,14,Current,Yes
L00098,C10098,Kochi,Kochi,Kerala,Female,43,Salaried,117421,718,4,Business,223946,13.26,36,7573.7,2024-03-17,24-03-2024,Approved,223946,No,0,0,5,Savings,Yes
L00099,C10099,Patna,Patna,Bihar,Female,23,Salaried,86864,701,3,Business,96979,12.95,180,1223.83,2025-04-05,,Pending,0,No,0,0,11,Current,Yes
L00100,C10100,Kolkata West,Kolkata,West Bengal,Male,54,Salaried,107414,624,2,Home,209479,7.73,48,5087.49,2025-05-26,,Rejected,0,No,0,0,3,Current,No
L00101,C10101,Kochi,Kochi,Kerala,Female,34,Student,99862,602,1,Home,597126,8.17,48,14625.29,2025-12-31,,Rejected,0,No,0,0,2,Current,No
L00102,C10102,Kochi,Kochi,Kerala,Male,56,Salaried,103631,451,1,Education,121779,13.24,60,2785.83,2025-06-04,08-06-2025,Approved,121779,No,0,0,7,Current,Yes
L00103,C10103,Pune East,Pune,Maharashtra,Female,50,Self-employed,169610,789,0,Personal,113969,13.97,120,1767.5,2025-02-24,06-03-2025,Approved,113969,No,0,0,10,Savings,No
L00104,C10104,Jaipur,Jaipur,Rajasthan,Female,29,Self-employed,169520,795,4,Home,217650,11.39,36,7165.85,2024-05-07,12-05-2024,Approved,217650,No,0,0,10,Savings,No
L00105,C10105,Lucknow,Lucknow,Uttar Pradesh,Female,26,Salaried,169399,674,4,Personal,85873,13.27,120,1295.89,2025-08-17,27-08-2025,Approved,85873,No,0,0,10,Savings,Yes
L00106,C10106,Mumbai South,Mumbai,Maharashtra,Male,57,Salaried,80262,786,4,Personal,103753,7.77,180,977.79,2025-07-12,17-07-2025,Approved,103753,No,0,0,12,Current,No
L00107,C10107,Mumbai South,Mumbai,Maharashtra,Male,31,Salaried,151943,627,1,Personal,114157,10.37,60,2446.33,2025-02-12,18-02-2025,Approved,114157,No,0,0,3,Current,Yes
L00108,C10108,Jaipur,Jaipur,Rajasthan,Male,38,Salaried,61930,704,0,Home,351405,15.28,84,6836.3,2024-09-11,,Pending,0,No,0,0,5,Current,No
L00109,C10109,Chennai North,Chennai,Tamil Nadu,Male,52,Student,147372,629,0,Home,356172,12.05,48,9388.12,2024-08-08,,Rejected,0,No,0,0,1,Savings,No
L00110,C10110,Jaipur,Jaipur,Rajasthan,Female,39,Salaried,53179,690,3,Home,288659,14.05,84,5417.45,2025-01-09,10-01-2025,Approved,288659,No,0,0,6,Current,No
L00111,C10111,Mumbai South,Mumbai,Maharashtra,Female,53,Salaried,169141,650,4,Home,200688,11.05,60,4368.45,2025-07-25,,Pending,0,No,0,0,4,Savings,No
L00112,C10112,Lucknow,Lucknow,Uttar Pradesh,Male,23,Salaried,112304,850,3,Personal,39521,12.96,120,589.16,2024-05-23,02-06-2024,Approved,39521,No,0,0,12,Current,No
L00113,C10113,Lucknow,Lucknow,Uttar Pradesh,Female,57,Salaried,29361,619,3,Auto,56985,12.87,60,1292.79,2025-11-02,,Rejected,0,No,0,0,7,Savings,No
L00114,C10114,Bengaluru East,Bengaluru,Karnataka,Female,30,Self-employed,88490,767,0,Auto,78808,9.22,84,1276.76,2024-11-17,24-11-2024,Approved,78808,No,0,0,13,Current,Yes
L00115,C10115,Kochi,Kochi,Kerala,Male,54,Salaried,110209,769,3,Personal,42699,11.64,120,603.75,2024-12-16,21-12-2024,Approved,42699,No,0,0,6,Savings,No
L00116,C10116,Lucknow,Lucknow,Uttar Pradesh,Female,35,Self-employed,103017,689,2,Education,120471,13.84,60,2793.17,2025-05-06,11-05-2025,Approved,120471,No,0,0,12,Current,No
L00117,C10117,Bhopal,Bhopal,Madhya Pradesh,Male,39,Salaried,45717,646,2,Education,58047,9.32,120,745.41,2024-10-04,,Pending,0,No,0,0,8,Savings,Yes
L00118,C10118,Kolkata West,Kolkata,West Bengal,Male,36,Salaried,164209,752,1,Auto,63760,8.4,60,1305.06,2025-04-28,01-05-2025,Approved,63760,Yes,170,10350,13,Current,No
L00119,C10119,Chandigarh,Chandigarh,Chandigarh,Male,39,Salaried,40509,715,4,Home,537284,14.01,36,18365.7,2024-06-28,01-07-2024,Approved,537284,No,0,0,1,Current,No
L00120,C10120,Bengaluru East,Bengaluru,Karnataka,Female,23,Salaried,173887,673,4,Home,325658,10.06,180,3511.5,2025-07-10,13-07-2025,Approved,325658,No,0,0,14,Current,Yes
L00121,C10121,Bhopal,Bhopal,Madhya Pradesh,Male,42,Salaried,145301,623,0,Education,133647,10.16,180,1449.29,2024-07-16,23-07-2024,Approved,133647,No,0,0,10,Savings,No
L00122,C10122,Chandigarh,Chandigarh,Chandigarh,Male,32,Student,150161,600,2,Business,83580,9.85,48,2113.79,2025-04-02,,Rejected,0,No,0,0,10,Current,Yes
L00123,C10123,Hyderabad Central,Hyderabad,Telangana,Female,36,Salaried,55991,649,4,Business,243042,13.71,180,3189.48,2024-10-29,,Rejected,0,No,0,0,7,Savings,Yes
L00124,C10124,Jaipur,Jaipur,Rajasthan,Male,50,Business,122943,698,3,Education,149642,11.74,120,2124.5,2025-11-11,,Rejected,0,No,0,0,7,Savings,No
L00125,C10125,Lucknow,Lucknow,Uttar Pradesh,Female,25,Self-employed,54414,771,4,Home,431364,8.85,60,8923.04,2025-06-16,20-06-2025,Approved,431364,No,0,0,15,Savings,No
L00126,C10126,Bhopal,Bhopal,Madhya Pradesh,Male,50,Salaried,133901,723,3,Auto,196485,11.66,60,4337.02,2024-01-23,24-01-2024,Approved,196485,No,0,0,2,Savings,No
L00127,C10127,Pune East,Pune,Maharashtra,Male,55,Student,43092,768,2,Personal,37750,14.39,180,512.66,2025-10-23,,Pending,0,No,0,0,11,Current,No
L00128,C10128,Patna,Patna,Bihar,Female,45,Salaried,166374,683,1,Auto,141165,8.57,120,1755.53,2025-02-06,10-02-2025,Approved,141165,No,0,0,0,Current,No
L00129,C10129,Chandigarh,Chandigarh,Chandigarh,Female,55,Salaried,85205,691,2,Home,530121,14.39,36,18218.86,2025-11-07,08-11-2025,Approved,530121,No,0,0,2,Savings,Yes
L00130,C10130,Jaipur,Jaipur,Rajasthan,Male,36,Business,130451,754,3,Home,263911,14.29,36,9057.07,2024-05-23,28-05-2024,Approved,263911,No,0,0,10,Current,Yes
L00131,C10131,Hyderabad Central,Hyderabad,Telangana,Male,54,Salaried,103774,675,4,Business,171820,13.13,84,3137.9,2025-07-23,29-07-2025,Approved,171820,No,0,0,12,Current,No
L00132,C10132,Ahmedabad,Ahmedabad,Gujarat,Male,40,Salaried,166014,778,3,Home,268145,10.21,180,2916.05,2024-05-27,28-05-2024,Approved,268145,No,0,0,13,Savings,No
L00133,C10133,Chennai North,Chennai,Tamil Nadu,Female,34,Salaried,45727,809,0,Personal,44966,7.96,84,699.95,2025-11-20,21-11-2025,Approved,44966,No,0,0,6,Savings,No
L00134,C10134,Chennai North,Chennai,Tamil Nadu,Female,40,Student,29019,626,1,Business,141507,14.22,84,2669.07,2024-09-05,,Rejected,0,No,0,0,6,Current,Yes
L00135,C10135,Lucknow,Lucknow,Uttar Pradesh,Female,39,Salaried,164893,654,2,Personal,85179,11.69,180,1005.36,2025-04-25,,Rejected,0,No,0,0,10,Savings,No
L00136,C10136,Pune East,Pune,Maharashtra,Female,23,Business,83005,641,1,Home,440094,15.91,120,7347.49,2025-03-03,07-03-2025,Approved,440094,No,0,0,12,Savings,No
L00137,C10137,Lucknow,Lucknow,Uttar Pradesh,Female,37,Self-employed,153089,788,3,Personal,116045,14.65,48,3209.07,2024-05-23,31-05-2024,Approved,116045,No,0,0,1,Savings,Yes
L00138,C10138,Patna,Patna,Bihar,Male,21,Salaried,85668,669,0,Education,31198,9.47,84,509.42,2025-01-17,27-01-2025,Approved,31198,No,0,0,15,Savings,Yes
L00139,C10139,Lucknow,Lucknow,Uttar Pradesh,Female,21,Salaried,97021,633,4,Education,118346,11.38,48,3080.6,2024-04-19,,Pending,0,No,0,0,4,Savings,Yes
L00140,C10140,Kolkata West,Kolkata,West Bengal,Female,43,Salaried,129044,677,0,Personal,73218,11.63,48,1914.84,2025-12-14,16-12-2025,Approved,73218,No,0,0,1,Savings,No
L00141,C10141,Ahmedabad,Ahmedabad,Gujarat,Female,56,Salaried,27477,681,3,Auto,136840,12.59,36,4583.7,2025-06-24,,Pending,0,No,0,0,7,Savings,No
L00142,C10142,Hyderabad Central,Hyderabad,Telangana,Male,25,Business,98498,662,4,Auto,58625,9.11,60,1220.09,2024-01-17,,Pending,0,No,0,0,4,Current,Yes
L00143,C10143,Hyderabad Central,Hyderabad,Telangana,Male,57,Salaried,127015,651,3,Education,48343,14.61,180,663.74,2024-03-21,27-03-2024,Approved,48343,Yes,141,7606,2,Current,No
L00144,C10144,Bhopal,Bhopal,Madhya Pradesh,Female,22,Business,143109,611,3,Home,439951,15.97,84,8730.82,2024-07-09,,Rejected,0,No,0,0,12,Savings,No
